category,type,id_s,companny_name,products_href,href,last_price,actual_price
Alimento,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/alimento-humedo-gatos/origens-filete-de-atun-y-papaya-alimento-para-gatos/,,,
Collares y arneses,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/collares-y-arneses/zeedog-arnes-air-mesh-honey-para-perros/,,,
Cuidado oral,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/juguetes/arm-hammer-nubbies-tribone-juguete-dental-para-perros/,,,
Accesorios y otros,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/correas/zeedog-correa-para-perros-modelo-pink-wave/,,,
Collares y arneses,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/collares-y-arneses/zeedog-arnes-air-mesh-blast-para-perros/,,,
Areneros y accesorios,gatos,,Mascotify,https://mascotify.pe/gatos/arena-y-cuidado/areneros-y-accesorios/ferplast-zerbino-alfombra-para-caja-de-arena/,,,
Alimento,perros,,Mascotify,https://mascotify.pe/perros/alimento/alimento-seco/gran-plus-senior-pollo-y-arroz-perros-de-edad-mayor/,,,
Snacks,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/snacks-alimento-gatos/brit-care-cat-snack-superfruits-chicken/,,,
Snacks,perros,,Mascotify,https://mascotify.pe/perros/alimento/snacks/canvit-mobility-200gr-snack-para-perros-adultos/,,,
Accesorios y otros,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/collares-y-arneses/zeedog-collar-para-perros-modelo-prisma/,,,
Collares y arneses,gatos,,Mascotify,https://mascotify.pe/gatos/accesorios-y-otros-gatos/collares-y-arneses-gatos/zeecat-collar-para-gatos-modelo-aura/,,,
Collares y arneses,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/collares-y-arneses/zeedog-arnes-para-perros-neopro-bubblegum/,,,
Antipulgas,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/antipulgas/rivolta-6-hasta-2-5kg-pipeta-antipulgas-y-antiparasitario/,,,
Platos y bebederos,gatos,,Mascotify,https://mascotify.pe/gatos/accesorios-y-otros-gatos/platos-bebederos-gatos/catit-repuesto-de-filtro-para-flower-fountain/,,,
Suplementos y vitaminas,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/suplementos-y-vitaminas/senilpet-cerebral-5-suplemento-para-perros-senior/,,,
Alimento,perros,,Mascotify,https://mascotify.pe/perros/alimento/alimento-seco/belcando-adult-gf-ocean-adultos-razas-medianas-y-grandes/,,,
Cuidado e higiene,perros,,Mascotify,https://mascotify.pe/perros/cuidado-e-higiene/cuidado-oral/arm-hammer-spray-aliento-fresco-sabor-menta-para-perros/,,,
Alimento Seco,perros,,Mascotify,https://mascotify.pe/perros/alimento/alimento-seco/brit-premium-sensitive-lamb-cordero-todas-las-razas/,,,
Ropa,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/ropa/armony-collar-para-perros/,,,
Accesorios y otros,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/correas/zeerun-canguro-y-cinturon-para-correr/,,,
Alimento húmedo,gatos,,Mascotify,https://mascotify.pe/gatos/alimento-gatos/alimento-humedo-gatos/applaws-filete-de-atun-gatos-adultos/,,,
Collares y arneses,perros,,Mascotify,https://mascotify.pe/perros/accesorios-y-otros/collares-y-arneses/zeedog-arnes-para-perros-modelo-atlanta/,,,
